20240917_1900 | w2v_20240910_sg1_mc3_w44_v50 	| euc 	| 0.9429 	|  0.0571 | 0.0196 | 28.14s 
20240917_1900 | w2v_20240910_sg1_mc3_w44_v50 	| cos 	| 0.9821 	|  0.0179 | 0.0196 | 28.42s 
20240917_1900 | w2v_20240911_sg1_mc1_w5_v5 	| euc 	| 0.9608 	|  0.0392 | 0.0196 | 57.65s 
20240917_1900 | w2v_20240911_sg1_mc1_w5_v5 	| cos 	| 0.9772 	|  0.0228 | 0.0196 | 58.99s 
20240917_1900 | w2v_20240911_sg1_mc1_w21_v10 	| euc 	| 0.9578 	|  0.0422 | 0.0196 | 49.45s 
20240917_1900 | w2v_20240911_sg1_mc1_w21_v10 	| cos 	| 0.9872 	|  0.0128 | 0.0196 | 56.22s 
20240917_1900 | w2v_20240911_sg1_mc1_w3_v10 	| euc 	| 0.9684 	|  0.0316 | 0.0196 | 58.31s 
20240917_1900 | w2v_20240911_sg1_mc1_w3_v10 	| cos 	| 0.9741 	|  0.0259 | 0.0196 | 59.06s 
20240917_1900 | w2v_20240911_sg1_mc1_w13_v50 	| euc 	| 0.9506 	|  0.0494 | 0.0196 | 51.57s 
20240917_1900 | w2v_20240911_sg1_mc1_w13_v50 	| cos 	| 0.9884 	|  0.0116 | 0.0196 | 55.65s 
20240917_1900 | w2v_20240911_cbow_mc8_w5_v5 	| euc 	| 0.9193 	|  0.0807 | 0.0196 | 21.45s 
20240917_1900 | w2v_20240911_cbow_mc8_w5_v5 	| cos 	| 0.9773 	|  0.0227 | 0.0196 | 20.7s 
20240917_1900 | w2v_20240911_cbow_mc8_w44_v10 	| euc 	| 0.9389 	|  0.0611 | 0.0196 | 16.27s 
20240917_1900 | w2v_20240911_cbow_mc8_w44_v10 	| cos 	| 0.9541 	|  0.0459 | 0.0196 | 15.57s 
20240917_1900 | w2v_20240911_cbow_mc8_w44_v5 	| euc 	| 0.9173 	|  0.0827 | 0.0196 | 20.63s 
20240917_1900 | w2v_20240911_cbow_mc8_w44_v5 	| cos 	| 0.9806 	|  0.0194 | 0.0196 | 18.65s 
20240917_1900 | w2v_20240911_cbow_mc3_w13_v25 	| euc 	| 0.9593 	|  0.0407 | 0.0196 | 28.77s 
20240917_1900 | w2v_20240911_cbow_mc3_w13_v25 	| cos 	| 0.9901 	|  0.0099 | 0.0196 | 26.7s 
20240917_1900 | w2v_20240911_cbow_mc5_w3_v50 	| euc 	| 0.9606 	|  0.0394 | 0.0196 | 24.13s 
20240917_1900 | w2v_20240911_cbow_mc5_w3_v50 	| cos 	| 0.9768 	|  0.0232 | 0.0196 | 25.49s 
20240917_1900 | w2v_20240911_cbow_mc3_w5_v50 	| euc 	| 0.9643 	|  0.0357 | 0.0196 | 27.36s 
20240917_1900 | w2v_20240911_cbow_mc3_w5_v50 	| cos 	| 0.998 	|  0.002 | 0.451 | 27.13s 
20240917_1900 | w2v_20240911_cbow_mc1_w5_v5 	| euc 	| 0.9256 	|  0.0744 | 0.0196 | 44.06s 
20240917_1900 | w2v_20240911_cbow_mc1_w5_v5 	| cos 	| 0.9898 	|  0.0102 | 0.0196 | 61.72s 
20240917_1900 | w2v_20240911_cbow_mc5_w21_v50 	| euc 	| 0.9576 	|  0.0424 | 0.0196 | 37.15s 
20240917_1900 | w2v_20240911_cbow_mc5_w21_v50 	| cos 	| 0.9972 	|  0.0028 | 0.2745 | 22.01s 
